municipio;latitude;longitude
Abaiara;-7,3454;-39,0463
Acarape;-4,2248;-38,7059
Acaraú;-2,8912;-40,1197
Acopiara;-6,0945;-39,4503
Aiuaba;-6,5752;-40,1203
Alcântaras;-3,5936;-40,5303
Altaneira;-6,9926;-39,7397
Alto Santo;-5,5173;-38,2715
Amontada;-3,3615;-39,8317
Antonina do Norte;-6,7725;-39,9912
Apuiarés;-3,9489;-39,1558
Aquiraz;-3,9014;-38,3911
Aracati;-4,5616;-37,77
Aracoiaba;-4,3712;-38,8108
Ararendá;-4,7503;-40,8228
Araripe;-7,2104;-40,0439
Aratuba;-4,4128;-39,0496
Arneiroz;-6,3533;-40,1557
Assaré;-6,8749;-39,8732
Aurora;-6,9427;-38,9701
Baixio;-6,7118;-38,7183
Banabuiú;-5,3039;-38,9242
Barbalha;-7,309;-39,3033
Barreira;-4,2882;-38,6433
Barro;-7,1994;-38,7758
Barroquinha;-3,0244;-41,1378
Baturité;-4,3297;-38,8831
Beberibe;-4,1798;-38,1304
Bela Cruz;-3,0489;-40,1683
Boa Viagem;-5,1278;-39,7314
Brejo Santo;-7,493;-38,9882
Camocim;-2,9022;-40,8436
Campos Sales;-7,0725;-40,3758
Canindé;-4,3571;-39,3114
Capistrano;-4,4716;-38,9023
Caridade;-4,2543;-39,1914
Cariré;-3,9587;-40,4619
Caririaçu;-7,0422;-39,2831
Cariús;-6,535;-39,5072
Carnaubal;-4,1458;-40,9631
Cascavel;-4,1331;-38,2403
Catarina;-6,1363;-39,6917
Catunda;-4,6567;-40,1989
Caucaia;-3,7297;-38,6581
Cedro;-6,6067;-39,0628
Chaval;-3,0336;-41,2728
Choró;-4,8211;-39,1419
Chorozinho;-4,2989;-38,4981
Coreaú;-3,5356;-40,6583
Crateús;-5,1783;-40,6775
Crato;-7,2339;-39,4094
Croatá;-4,4828;-40,9103
Cruz;-2,9189;-40,1742
Deputado Irapuan Pinheiro;-5,9328;-39,2575
Ererê;-6,0308;-38,3492
Eusébio;-3,8906;-38,4508
Farias Brito;-6,9247;-39,5708
Forquilha;-3,8058;-40,2606
Fortaleza;-3,7172;-38,5433
Fortim;-4,2483;-37,9822
Frecheirinha;-3,7664;-40,8122
General Sampaio;-4,0539;-39,4489
Graça;-4,0483;-40,7556
Granja;-3,1203;-40,8286
Granjeiro;-6,8894;-39,2131
Groaíras;-3,9181;-40,3953
Guaiúba;-4,0425;-38,6367
Guaraciaba do Norte;-4,1661;-40,7486
Guaramiranga;-4,2628;-38,9328
Hidrolândia;-4,7933;-40,4289
Horizonte;-4,0994;-38,4936
Ibaretama;-4,7578;-38,7611
Ibiapina;-3,9239;-40,8906
Ibicuitinga;-4,9767;-38,6256
Icapuí;-4,7156;-37,3556
Icó;-6,4019;-38,8619
Iguatu;-6,3594;-39,2986
Independência;-5,3958;-40,3081
Ipaporanga;-4,9317;-40,8506
Ipaumirim;-6,7867;-38,9483
Ipu;-4,3217;-40,7103
Ipueiras;-4,5458;-40,7144
Iracema;-5,8344;-38,3094
Irauçuba;-3,75;-39,7833
Itaiçaba;-4,6756;-37,8228
Itaitinga;-3,9681;-38,5233
Itapajé;-3,6869;-39,5847
Itapipoca;-3,4942;-39,5786
Itapiúna;-4,5583;-38,9172
Itarema;-2,9214;-39,9153
Itatira;-4,675;-39,625
Jaguaretama;-5,6033;-38,7686
Jaguaribara;-5,6567;-38,6272
Jaguaribe;-5,8894;-38,6231
Jaguaruana;-4,8333;-37,7814
Jardim;-7,5819;-39,2944
Jati;-7,6894;-39,0142
Jijoca de Jericoacoara;-2,7933;-40,5122
Juazeiro do Norte;-7,2128;-39,3144
Jucás;-6,525;-39,5281
Lavras da Mangabeira;-6,7481;-38,9619
Limoeiro do Norte;-5,1456;-38,0983
Madalena;-4,8583;-39,6739
Maracanaú;-3,8761;-38,6261
Maranguape;-3,8894;-38,6839
Marco;-3,1269;-40,1478
Martinópole;-3,2806;-40,6864
Massapê;-3,5181;-40,3439
Mauriti;-7,3894;-38,7753
Meruoca;-3,5439;-40,4578
Milagres;-7,3106;-38,9439
Milhã;-5,6667;-39,1833
Miraíma;-3,575;-39,9708
Missão Velha;-7,2481;-39,1431
Mombaça;-5,7439;-39,6289
Monsenhor Tabosa;-4,825;-40,0589
Morada Nova;-5,1069;-38,3719
Moraújo;-3,4739;-40,6931
Morrinhos;-3,2381;-40,1208
Mucambo;-3,9019;-40,7481
Mulungu;-4,305;-38,995
Nova Olinda;-7,0919;-39,6811
Nova Russas;-4,7069;-40,5819
Novo Oriente;-5,5339;-40,7719
Ocara;-4,4889;-38,595
Orós;-6,2389;-38,9139
Pacajus;-4,1739;-38,4619
Pacatuba;-3,9839;-38,6219
Pacoti;-4,2269;-38,9219
Pacujá;-3,9939;-40,7181
Palhano;-4,7439;-37,955
Palmácia;-4,15;-38,84
Paracuru;-3,4119;-39,03
Paraipaba;-3,4389;-39,1469
Parambu;-6,21;-40,6939
Paramoti;-4,0889;-39,2389
Pedra Branca;-5,4539;-39,7189
Penaforte;-7,8289;-39,0739
Pentecoste;-3,7939;-39,2689
Pereiro;-6,0419;-38,4619
Pindoretama;-4,0119;-38,31
Piquet Carneiro;-5,8169;-39,4219
Pires Ferreira;-4,2419;-40,6569
Poranga;-5,0889;-40,9169
Porteiras;-7,5319;-39,1239
Potengi;-7,0969;-39,9969
Potiretama;-5,7219;-38,1569
Quiterianópolis;-5,8419;-40,6719
Quixadá;-4,97;-39,015
Quixelô;-6,2619;-39,2019
Quixeramobim;-5,1989;-39,2919
Quixeré;-5,0789;-37,9919
Redenção;-4,2269;-38,73
Reriutaba;-4,1439;-40,5819
Russas;-4,94;-37,975
Saboeiro;-6,5419;-39,9119
Salitre;-7,2719;-40,4569
Santa Quitéria;-4,3319;-40,1569
Santana do Acaraú;-3,4569;-40,2119
Santana do Cariri;-7,1869;-39,7269
São Benedito;-4,0489;-40,865
São Gonçalo do Amarante;-3,6069;-38,9689
São João do Jaguaribe;-5,3589;-38,2719
São Luís do Curu;-3,6689;-39,245
Senador Pompeu;-5,5889;-39,3719
Senador Sá;-3,3519;-40,4569
Sobral;-3,6889;-40,3489
Solonópole;-5,7819;-38,8419
Tabuleiro do Norte;-5,2419;-38,1219
Tamboril;-4,8319;-40,3219
Tarrafas;-6,6719;-39,8119
Tauá;-6,0039;-40,2939
Tejuçuoca;-3,9789;-39,6319
Tianguá;-3,7319;-40,9919
Trairi;-3,2789;-39,2689
Tururu;-3,5919;-39,4319
Ubajara;-3,8519;-40,9219
Umari;-6,6439;-38,7019
Umirim;-3,6819;-39,3519
Uruburetama;-3,6269;-39,5089
Uruoca;-3,3169;-40,5119
Varjota;-4,1939;-40,5019
Varzea Alegre;-6,7869;-39,2969
Viçosa do Ceará;-3,5639;-41,0919
